cavity_v2,dist_min,dist_max,r_min_max
C_din4_x2_c6,3.415,4.842,0.705
C_din6_as_c6,1.832,5.327,0.344
C_din6_s_c6,5.128,5.92,0.866
N_din4_x2_c0,2.925,4.99,0.586
N_din4_x2_c1_a,2.917,4.706,0.62
N_din4_x2_c1_b,3.307,4.966,0.666
N_din4_x2_c2_a,2.918,4.711,0.619
N_din4_x2_c2_b,2.876,4.731,0.608
N_din4_x2_c2_c,3.263,4.682,0.697
N_din4_x2_c2_d,2.943,4.748,0.62
N_din4_x2_c2_e,2.877,4.807,0.599
N_din4_x2_c2_f,2.965,4.947,0.599
N_din4_x2_c2_g,2.907,4.772,0.609
N_din4_x2_c3_a,2.921,4.834,0.604
N_din4_x2_c3_b,3.278,4.755,0.689
N_din4_x2_c3_c,2.554,4.835,0.528
N_din4_x2_c3_d,2.891,4.778,0.605
N_din4_x2_c4_a,2.906,4.842,0.6
N_din4_x2_c4_b,2.623,4.881,0.537
N_din4_x2_c4_c,2.917,4.784,0.61
N_din4_x2_c4_d,3.346,4.769,0.702
N_din4_x2_c4_e,2.968,4.76,0.624
N_din4_x2_c4_f,1.638,4.928,0.332
N_din4_x2_c5_a,2.935,4.848,0.605
N_din4_x2_c5_b,3.38,4.838,0.699
N_din6_as_c0,2.64,5.052,0.523
N_din6_as_c1_1,2.6,5.081,0.512
N_din6_as_c1_2,2.604,5.061,0.515
N_din6_as_c1_3,2.63,5.089,0.517
N_din6_as_c2_12,2.563,5.089,0.504
N_din6_as_c2_13,2.59,5.118,0.506
N_din6_as_c2_14,2.598,5.109,0.509
N_din6_as_c2_15,2.606,5.158,0.505
N_din6_as_c2_16,2.021,5.091,0.397
N_din6_as_c2_23,2.593,5.099,0.509
N_din6_as_c2_24,2.603,5.091,0.511
N_din6_as_c2_25,2.609,5.135,0.508
N_din6_as_c2_26,2.564,5.086,0.504
N_din6_as_c2_34,2.6,5.205,0.5
N_din6_as_c2_35,2.635,5.163,0.51
N_din6_as_c2_36,2.588,5.114,0.506
N_din6_as_c3_123,2.549,5.128,0.497
N_din6_as_c3_124,2.561,5.12,0.5
N_din6_as_c3_125,2.571,5.167,0.498
N_din6_as_c3_163,1.992,5.128,0.388
N_din6_as_c3_164,1.992,5.118,0.389
N_din6_as_c3_165,2.031,5.174,0.393
N_din6_as_c3_216,1.93,5.108,0.378
N_din6_as_c3_235,2.599,5.168,0.503
N_din6_as_c3_236,2.549,5.125,0.497
N_din6_as_c3_253,2.599,5.168,0.503
N_din6_as_c3_254,2.605,5.151,0.506
N_din6_as_c3_346,2.551,5.23,0.488
N_din6_as_c4_2346,2.516,5.245,0.48
N_din6_as_c4_2456,2.005,5.133,0.391
N_din6_as_c4_3216,1.903,5.146,0.37
N_din6_as_c4_3456,2.554,5.315,0.481
N_din6_as_c4_6124,1.904,5.139,0.371
N_din6_as_c4_6125,1.933,5.192,0.372
N_din6_as_c5_12345,2.518,5.32,0.473
N_din6_as_c5_12346,1.831,5.259,0.348
N_din6_s_c0,4.945,5.711,0.866
N_din6_s_c1,4.98,5.754,0.865
N_din6_s_c2_01,5.038,5.781,0.871
N_din6_s_c2_02,4.985,5.773,0.864
N_din6_s_c2_12,4.996,5.75,0.869
N_din6_s_c2_15,5.032,5.746,0.876
N_din6_s_c3_012,5.046,5.804,0.869
N_din6_s_c3_013,5.046,5.826,0.866
N_din6_s_c3_024,4.99,5.79,0.862
N_din6_s_c4_0123,5.056,5.859,0.863
N_din6_s_c4_0124,5.051,5.822,0.868
N_din6_s_c4_0134,5.054,5.855,0.863
N_din6_s_c5,5.064,5.887,0.86
