cavity_v2,convex_hull_area,convex_hull_volume
N_din6_s_c0,82.081,0.376
N_din6_s_c1,82.466,0.378
N_din6_s_c2_01,82.892,0.375
N_din6_s_c2_02,82.847,0.358
N_din6_s_c2_12,82.886,0.358
N_din6_s_c2_15,82.845,0.402
N_din6_s_c3_012,83.317,0.374
N_din6_s_c3_013,83.273,0.418
N_din6_s_c3_024,83.221,0.439
N_din6_s_c4_0123,83.747,0.42
N_din6_s_c4_0124,83.694,0.443
N_din6_s_c4_0134,83.7,0.486
N_din6_s_c5,84.175,0.504
C_din6_s_c6,84.649,0.558
N_din6_as_c0,72.743,0.391
N_din6_as_c1_1,72.656,0.345
N_din6_as_c1_2,72.956,0.473
N_din6_as_c1_3,72.821,0.373
N_din6_as_c2_12,72.844,0.381
N_din6_as_c2_13,72.746,0.331
N_din6_as_c2_14,72.576,0.369
N_din6_as_c2_15,72.895,0.376
N_din6_as_c2_16,71.462,0.179
N_din6_as_c2_23,73.045,0.518
N_din6_as_c2_24,72.897,0.521
N_din6_as_c2_25,73.212,0.471
N_din6_as_c2_26,73.016,0.337
N_din6_as_c2_34,71.465,0.575
N_din6_as_c2_35,73.026,0.384
N_din6_as_c2_36,72.881,0.284
N_din6_as_c3_123,72.921,0.371
N_din6_as_c3_124,72.774,0.389
N_din6_as_c3_125,73.111,0.411
N_din6_as_c3_163,71.492,0.241
N_din6_as_c3_164,71.293,0.162
N_din6_as_c3_165,71.729,0.226
N_din6_as_c3_216,71.607,0.217
N_din6_as_c3_235,73.294,0.49
N_din6_as_c3_236,73.075,0.354
N_din6_as_c3_253,73.294,0.49
N_din6_as_c3_254,73.112,0.486
N_din6_as_c3_346,71.485,0.166
N_din6_as_c4_2346,71.736,0.352
N_din6_as_c4_2456,72.093,0.321
N_din6_as_c4_3216,71.635,0.266
N_din6_as_c4_3456,71.63,0.132
N_din6_as_c4_6124,71.457,0.165
N_din6_as_c4_6125,71.93,0.175
N_din6_as_c5_12345,71.736,0.347
N_din6_as_c5_12346,69.762,0.061
C_din6_as_c6,70.063,0.084
N_din4_x2_c0,83.025,0.694
N_din4_x2_c1_a,81.753,0.129
N_din4_x2_c1_b,84.612,17.72
N_din4_x2_c2_a,81.908,0.21
N_din4_x2_c2_b,81.878,0.761
N_din4_x2_c2_c,81.718,0.207
N_din4_x2_c2_d,82.127,0.221
N_din4_x2_c2_e,81.881,0.788
N_din4_x2_c2_f,83.276,12.388
N_din4_x2_c2_g,82.024,0.09
N_din4_x2_c3_a,82.441,0.177
N_din4_x2_c3_b,81.982,0.2
N_din4_x2_c3_c,81.417,0.151
N_din4_x2_c3_d,82.125,0.264
N_din4_x2_c4_a,82.54,0.29
N_din4_x2_c4_b,81.98,1.459
N_din4_x2_c4_c,82.515,0.18
N_din4_x2_c4_d,82.386,0.161
N_din4_x2_c4_e,82.711,0.234
N_din4_x2_c4_f,80.778,0.103
N_din4_x2_c5_a,82.991,0.211
N_din4_x2_c5_b,82.863,0.28
C_din4_x2_c6,83.328,0.215
