cavity_v2,mean_distance_N
C_din4_x2_c6,2.617
C_din6_as_c6,2.489
C_din6_s_c6,2.960
N_din4_x2_c0,2.624
N_din4_x2_c1_a,2.851
N_din4_x2_c1_b,3.215
N_din4_x2_c2_a,3.074
N_din4_x2_c2_b,3.558
N_din4_x2_c2_c,3.260
N_din4_x2_c2_d,3.153
N_din4_x2_c2_e,3.559
N_din4_x2_c2_f,3.922
N_din4_x2_c2_g,3.301
N_din4_x2_c3_a,3.202
N_din4_x2_c3_b,4.071
N_din4_x2_c3_c,4.409
N_din4_x2_c3_d,3.485
N_din4_x2_c4_a,3.353
N_din4_x2_c4_b,4.845
N_din4_x2_c4_c,4.392
N_din4_x2_c4_d,5.676
N_din4_x2_c4_e,2.968
N_din4_x2_c4_f,2.751
N_din4_x2_c5_a,2.609
N_din4_x2_c5_b,2.594
N_din6_as_c0,2.619
N_din6_as_c1_1,3.011
N_din6_as_c1_2,3.120
N_din6_as_c1_3,2.820
N_din6_as_c2_12,3.545
N_din6_as_c2_13,3.365
N_din6_as_c2_14,3.595
N_din6_as_c2_15,3.737
N_din6_as_c2_16,2.869
N_din6_as_c2_23,3.254
N_din6_as_c2_24,3.737
N_din6_as_c2_25,3.872
N_din6_as_c2_26,3.505
N_din6_as_c2_34,2.869
N_din6_as_c2_35,3.506
N_din6_as_c2_36,3.122
N_din6_as_c3_123,3.472
N_din6_as_c3_124,4.501
N_din6_as_c3_125,4.694
N_din6_as_c3_163,3.279
N_din6_as_c3_164,3.602
N_din6_as_c3_165,3.069
N_din6_as_c3_216,3.059
N_din6_as_c3_235,4.321
N_din6_as_c3_236,3.815
N_din6_as_c3_253,4.321
N_din6_as_c3_254,4.694
N_din6_as_c3_346,3.279
N_din6_as_c4_2346,3.809
N_din6_as_c4_2456,3.706
N_din6_as_c4_3216,2.355
N_din6_as_c4_3456,2.355
N_din6_as_c4_6124,4.262
N_din6_as_c4_6125,2.570
N_din6_as_c5_12345,2.572
N_din6_as_c5_12346,2.475
N_din6_s_c0,2.380
N_din6_s_c1,3.281
N_din6_s_c2_01,3.582
N_din6_s_c2_02,3.921
N_din6_s_c2_12,3.581
N_din6_s_c2_15,3.921
N_din6_s_c3_012,3.562
N_din6_s_c3_013,4.541
N_din6_s_c3_024,4.990
N_din6_s_c4_0123,2.862
N_din6_s_c4_0124,5.002
N_din6_s_c4_0134,5.791
N_din6_s_c5,2.939
